Lambert Airport Terminal # 1,Lambert Airport Terminal # 2,North Hanley Station,UMSL North Station,UMSL South Station,Rock Road Station,Wellston Station,Delmar Loop Station,ShrewsburyLansdowne I44 Station,Sunnen Station,MaplewoodManchester Station,Brentwood I64 Station,Richmond Heights Station,Clayton Station,Forsyth Station,University CityBig Bend Station,Skinker Station,Forest ParkDeBaliviere Station,Central West End Station,Cortex Station,Grand Station,Union Station,Civic Center Station,Stadium Station,8th & Pine Station,Convention Center Station,Laclede's Landing Station,East Riverfront Station,5th & Missouri Station,Emerson Park Station,JJK Center Station,Washington Park Station,Fairview Heights Station,Memorial Hospital Station,Swansea Station,Belleville Station,College Station,ShilohScott Station
6:56AR,6:58AR,7:03AR,7:05AR,7:07AR,7:09AR,7:11AR,7:13AR,,,,,,,,,,7:15AR,7:18AR,7:20AR,7:22AR,7:26AR,7:27AR,7:29AR,7:30AR,7:32AR,7:33AR,7:34AR,7:37AR,7:40AR,7:42AR,7:45AR,7:50AR,7:54AR,7:58AR,8:00AR,8:05AR,8:10AR
,,,,,,,,7:08AB,7:11AB,7:12AB,7:14AB,7:16AB,7:18AB,7:19AB,7:21AB,7:23AB,7:25AB,7:28AB,7:30AB,7:32AB,7:36AB,7:37AB,7:39AB,7:40AB,7:42AB,7:43AB,7:44AB,7:47AB,7:50AB,7:52AB,7:55AB,8:00AB,,,,,
7:16AR,7:18AR,7:23AR,7:25AR,7:27AR,7:29AR,7:31AR,7:33AR,,,,,,,,,,7:35AR,7:38AR,7:40AR,7:42AR,7:46AR,7:47AR,7:49AR,7:50AR,7:52AR,7:53AR,7:54AR,7:57AR,8:00AR,8:02AR,8:05AR,8:10AR,8:14AR,8:18AR,8:20AR,8:25AR,8:30AR
,,,,,,,,7:28AB,7:31AB,7:32AB,7:34AB,7:36AB,7:38AB,7:39AB,7:41AB,7:43AB,7:45AB,7:48AB,7:50AB,7:52AB,7:56AB,7:57AB,7:59AB,8:00AB,8:02AB,8:03AB,8:04AB,8:07AB,8:10AB,8:12AB,8:15AB,8:20AB,,,,,
7:36AR,7:38AR,7:43AR,7:45AR,7:47AR,7:49AR,7:51AR,7:53AR,,,,,,,,,,7:55AR,7:58AR,8:00AR,8:02AR,8:06AR,8:07AR,8:09AR,8:10AR,8:12AR,8:13AR,8:14AR,8:17AR,8:20AR,8:22AR,8:25AR,8:30AR,8:34AR,8:38AR,8:40AR,8:45AR,8:50AR
,,,,,,,,7:48AB,7:51AB,7:52AB,7:54AB,7:56AB,7:58AB,7:59AB,8:01AB,8:03AB,8:05AB,8:08AB,8:10AB,8:12AB,8:16AB,8:17AB,8:19AB,8:20AB,8:22AB,8:23AB,8:24AB,8:27AB,8:30AB,8:32AB,8:35AB,8:40AB,,,,,
7:56AR,7:58AR,8:03AR,8:05AR,8:07AR,8:09AR,8:11AR,8:13AR,,,,,,,,,,8:15AR,8:18AR,8:20AR,8:22AR,8:26AR,8:27AR,8:29AR,8:30AR,8:32AR,8:33AR,8:34AR,8:37AR,8:40AR,8:42AR,8:45AR,8:50AR,8:54AR,8:58AR,9:00AR,9:05AR,9:10AR
,,,,,,,,8:08AB,8:11AB,8:12AB,8:14AB,8:16AB,8:18AB,8:19AB,8:21AB,8:23AB,8:25AB,8:28AB,8:30AB,8:32AB,8:36AB,8:37AB,8:39AB,8:40AB,8:42AB,8:43AB,8:44AB,8:47AB,8:50AB,8:52AB,8:55AB,9:00AB,,,,,
8:16AR,8:18AR,8:23AR,8:25AR,8:27AR,8:29AR,8:31AR,8:33AR,,,,,,,,,,8:35AR,8:38AR,8:40AR,8:42AR,8:46AR,8:47AR,8:49AR,8:50AR,8:52AR,8:53AR,8:54AR,8:57AR,9:00AR,9:02AR,9:05AR,9:10AR,9:14AR,9:18AR,9:20AR,9:25AR,9:30AR
,,,,,,,,8:28AB,8:31AB,8:32AB,8:34AB,8:36AB,8:38AB,8:39AB,8:41AB,8:43AB,8:45AB,8:48AB,8:50AB,8:52AB,8:56AB,8:57AB,8:59AB,9:00AB,9:02AB,9:03AB,9:04AB,9:07AB,9:10AB,9:12AB,9:15AB,9:20AB,,,,,
