ShilohScott Station,College Station,Belleville Station,Swansea Station,Memorial Hospital Station,Fairview Heights Station,Washington Park Station,JJK Center Station,Emerson Park Station,5th & Missouri Station,East Riverfront Station,Laclede's Landing Station,Convention Center Station,8th & Pine Station,Stadium Station,Civic Center Station,Union Station,Grand Station,Cortex Station,Central West End Station,Forest ParkDeBaliviere Station,Skinker Station,University CityBig Bend Station,Forsyth Station,Clayton Station,Richmond Heights Station,Brentwood I64 Station,MaplewoodManchester Station,Sunnen Station,ShrewsburyLansdowne I44 Station,Delmar Loop Station,Wellston Station,Rock Road Station,UMSL South Station,UMSL North Station,North Hanley Station,Lambert Airport Terminal # 2,Lambert Airport Terminal # 1
,,,,,6:12AB,6:17AB,6:20AB,6:22AB,6:25AB,6:28AB,6:29AB,6:30AB,6:32AB,6:33AB,6:35AB,6:36AB,6:40AB,6:42AB,6:44AB,6:47AB,6:51AB,6:54AB,6:57AB,6:58AB,7:00AB,7:02AB,7:04AB,7:05AB,7:08AB,,,,,,,,
6:03AR,6:08AR,6:13AR,6:15AR,6:19AR,6:23AR,6:28AR,6:31AR,6:33AR,6:36AR,6:39AR,6:40AR,6:41AR,6:43AR,6:44AR,6:46AR,6:47AR,6:51AR,6:53AR,6:55AR,6:58AR,,,,,,,,,,7:01AR,7:03AR,7:05AR,7:07AR,7:09AR,7:11AR,7:16AR,7:18AR
,,,,,6:32AB,6:37AB,6:40AB,6:42AB,6:45AB,6:48AB,6:49AB,6:50AB,6:52AB,6:53AB,6:55AB,6:56AB,7:00AB,7:02AB,7:04AB,7:07AB,7:11AB,7:14AB,7:17AB,7:18AB,7:20AB,7:22AB,7:24AB,7:25AB,7:28AB,,,,,,,,
6:23AR,6:28AR,6:33AR,6:35AR,6:39AR,6:43AR,6:48AR,6:51AR,6:53AR,6:56AR,6:59AR,7:00AR,7:01AR,7:03AR,7:04AR,7:06AR,7:07AR,7:11AR,7:13AR,7:15AR,7:18AR,,,,,,,,,,7:21AR,7:23AR,7:25AR,7:27AR,7:29AR,7:31AR,7:36AR,7:38AR
,,,,,6:52AB,6:57AB,7:00AB,7:02AB,7:05AB,7:08AB,7:09AB,7:10AB,7:12AB,7:13AB,7:15AB,7:16AB,7:20AB,7:22AB,7:24AB,7:27AB,7:31AB,7:34AB,7:37AB,7:38AB,7:40AB,7:42AB,7:44AB,7:45AB,7:48AB,,,,,,,,
6:43AR,6:48AR,6:53AR,6:55AR,6:59AR,7:03AR,7:08AR,7:11AR,7:13AR,7:16AR,7:19AR,7:20AR,7:21AR,7:23AR,7:24AR,7:26AR,7:27AR,7:31AR,7:33AR,7:35AR,7:38AR,,,,,,,,,,7:41AR,7:43AR,7:45AR,7:47AR,7:49AR,7:51AR,7:56AR,7:58AR
,,,,,7:12AB,7:17AB,7:20AB,7:22AB,7:25AB,7:28AB,7:29AB,7:30AB,7:32AB,7:33AB,7:35AB,7:36AB,7:40AB,7:42AB,7:44AB,7:47AB,7:51AB,7:54AB,7:57AB,7:58AB,8:00AB,8:02AB,8:04AB,8:05AB,8:08AB,,,,,,,,
7:03AR,7:08AR,7:13AR,7:15AR,7:19AR,7:23AR,7:28AR,7:31AR,7:33AR,7:36AR,7:39AR,7:40AR,7:41AR,7:43AR,7:44AR,7:46AR,7:47AR,7:51AR,7:53AR,7:55AR,7:58AR,,,,,,,,,,8:01AR,8:03AR,8:05AR,8:07AR,8:09AR,8:11AR,8:16AR,8:18AR
,,,,,7:32AB,7:37AB,7:40AB,7:42AB,7:45AB,7:48AB,7:49AB,7:50AB,7:52AB,7:53AB,7:55AB,7:56AB,8:00AB,8:02AB,8:04AB,8:07AB,8:11AB,8:14AB,8:17AB,8:18AB,8:20AB,8:22AB,8:24AB,8:25AB,8:28AB,,,,,,,,
7:23AR,7:28AR,7:33AR,7:35AR,7:39AR,7:43AR,7:48AR,7:51AR,7:53AR,7:56AR,7:59AR,8:00AR,8:01AR,8:03AR,8:04AR,8:06AR,8:07AR,8:11AR,8:13AR,8:15AR,8:18AR,,,,,,,,,,8:21AR,8:23AR,8:25AR,8:27AR,8:29AR,8:31AR,8:36AR,8:38AR
,,,,,7:52AB,7:57AB,8:00AB,8:02AB,8:05AB,8:08AB,8:09AB,8:10AB,8:12AB,8:13AB,8:15AB,8:16AB,8:20AB,8:22AB,8:24AB,8:27AB,8:31AB,8:34AB,8:37AB,8:38AB,8:40AB,8:42AB,8:44AB,8:45AB,8:48AB,,,,,,,,
7:43AR,7:48AR,7:53AR,7:55AR,7:59AR,8:03AR,8:08AR,8:11AR,8:13AR,8:16AR,8:19AR,8:20AR,8:21AR,8:23AR,8:24AR,8:26AR,8:27AR,8:31AR,8:33AR,8:35AR,8:38AR,,,,,,,,,,8:41AR,8:43AR,8:45AR,8:47AR,8:49AR,8:51AR,8:56AR,8:58AR
,,,,,8:12AB,8:17AB,8:20AB,8:22AB,8:25AB,8:28AB,8:29AB,8:30AB,8:32AB,8:33AB,8:35AB,8:36AB,8:40AB,8:42AB,8:44AB,8:47AB,8:51AB,8:54AB,8:57AB,8:58AB,9:00AB,9:02AB,9:04AB,9:05AB,9:08AB,,,,,,,,
8:03AR,8:08AR,8:13AR,8:15AR,8:19AR,8:23AR,8:28AR,8:31AR,8:33AR,8:36AR,8:39AR,8:40AR,8:41AR,8:43AR,8:44AR,8:46AR,8:47AR,8:51AR,8:53AR,8:55AR,8:58AR,,,,,,,,,,9:01AR,9:03AR,9:05AR,9:07AR,9:09AR,9:11AR,9:16AR,9:18AR
,,,,,8:32AB,8:37AB,8:40AB,8:42AB,8:45AB,8:48AB,8:49AB,8:50AB,8:52AB,8:53AB,8:55AB,8:56AB,9:00AB,9:02AB,9:04AB,9:07AB,9:11AB,9:14AB,9:17AB,9:18AB,9:20AB,9:22AB,9:24AB,9:25AB,9:28AB,,,,,,,,
8:23AR,8:28AR,8:33AR,8:35AR,8:39AR,8:43AR,8:48AR,8:51AR,8:53AR,8:56AR,8:59AR,9:00AR,9:01AR,9:03AR,9:04AR,9:06AR,9:07AR,9:11AR,9:13AR,9:15AR,9:18AR,,,,,,,,,,9:21AR,9:23AR,9:25AR,9:27AR,9:29AR,9:31AR,9:36AR,9:38AR
,,,,,8:52AB,8:57AB,9:00AB,9:02AB,9:05AB,9:08AB,9:09AB,9:10AB,9:12AB,9:13AB,9:15AB,9:16AB,9:20AB,9:22AB,9:24AB,9:27AB,9:31AB,9:34AB,9:37AB,9:38AB,9:40AB,9:42AB,9:44AB,9:45AB,9:48AB,,,,,,,,
